,Année,Évolution
0,1945,"48,5"
1,1946,"52,6"
2,1947,"49,2"
3,1948,"58,7"
4,1949,"13,2"
5,1950,10
6,1951,"16,2"
7,1952,"11,9"
8,1953,"-1,7"
9,1954,"0,4"
10,1955,"1,0"
11,1956,"4,2"
12,1957,"3,0"
13,1958,"15,1"
14,1959,"6,2"
15,1960,"3,6"
16,1961,"3,3"
17,1962,"4,8"
18,1963,"4,8"
19,1964,"3,4"
20,1965,"2,5"
21,1966,"2,7"
22,1967,"2,7"
23,1968,"4,5"
24,1969,"6,5"
25,1970,"5,2"
26,1971,"5,7"
27,1972,"6,2"
28,1973,"9,2"
29,1974,"13,7"
30,1975,"11,8"
31,1976,"9,6"
32,1977,"9,4"
33,1978,"9,1"
34,1979,"10,8"
35,1980,"13,6"
36,1981,"13,4"
37,1982,"11,8"
38,1983,"9,6"
39,1984,"7,4"
40,1985,"5,8"
41,1986,"2,7"
42,1987,"3,1"
43,1988,"2,7"
44,1989,"3,6"
45,1990,"3,4"
46,1991,"3,3"
47,1992,"2,3"
48,1993,"2,1"
49,1994,"1,7"
50,1995,"1,9"
51,1996,"2,0"
52,1997,"1,2"
53,1998,"0,6"
54,1999,"0,5"
55,2000,"1,7"
56,2001,"1,6"
57,2002,"2,0"
58,2003,"2,1"
59,2004,"2,1"
60,2005,"1,9"
61,2006,"1,6"
62,2007,"1,5"
63,2008,"2,8"
64,2009,"0,1"
65,2010,"1,5"
66,2011,"2,1"
67,2012,"2,0"
68,2013,"0,9"
69,2014,"0,5"
70,2015,"0,0"
71,2016,"0,2"
